07-26 17:56:46.489    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ :newInstance)
07-26 17:56:46.489    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ ContentFragment: Line 81)
07-26 17:56:46.489    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ ContentFragment: Line 82)
07-26 17:56:46.489    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ :newInstance)
07-26 17:56:46.489    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onNavigationDrawerItemSelected: Line 97)
07-26 17:56:46.499    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ selectItem: Line 225)
07-26 17:56:46.499    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onCreate: Line 90)
07-26 17:56:46.499    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onCreateView: Line 105)
07-26 17:56:46.519    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ getActionBar: Line 306)
07-26 17:56:46.529    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ getActionBar: Line 308)
07-26 17:56:46.529    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onCreateView: Line 125)
07-26 17:56:46.549    5108-5111/com.jessicaxu.ReadJiffy.app E/dalvikvm﹕ GC_CONCURRENT freed 1550K, 19% free 8683K/10631K, paused 14ms+3ms, total 90ms
07-26 17:56:46.549    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ setUp: Line 144)
07-26 17:56:46.559    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ getActionBar: Line 306)
07-26 17:56:46.559    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ getActionBar: Line 308)
07-26 17:56:46.559    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ setUp: Line 210)
07-26 17:56:46.559    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onCreate: Line 79)
07-26 17:56:46.559    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onActivityCreated: Line 95)
07-26 17:56:46.569    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onCreateOptionsMenu: Line 128)
